5154,2376,424043990
48469,99,27354592
53093,99,21584996
98142,99,33825153
147933,99,36632948
556517,99,13443503
17284,99,14153971
209275,99,17708183
110898,99,14489407
28024,99,20840121
222450,99,13046436
25353,99,17790854
279188,99,13056911
72736,99,14050094
65412,99,13227222
10832,99,25241304
107720,99,13110155
78177,99,13128964
33551,99,18566825
186470,99,13307247
186483,99,14046288
37506,99,13605133
113128,99,13066267
35382,99,13329890
768,99,15437526
-1,0
-1,0
-1,0
-1,0
-1,0
-1,0
-1,0
451530,135
217941,30
242975,33
619519,16
447040,50
660378,2
292254,4
-1,486
-1,2136
-1,0
177649,220
192504,661
-1,388
108263,368
-1,0
153901,25
146485,140
-1,2
253201,262
-1,2
-1,0
134478,73
-1,0
320074,9
-1,0
-1,1
-1,1
-1,1
-1,0
553198,6
394363,21
244780,199
381904,24
166701,25
-1,0
194822,10
-1,1
297292,67
-1,0
126504,84
118165,150
597057,25
492525,205
-1,1
-1,1
308400,26
-1,0
-1,0
-1,0
-1,0
-1,1
-1,0
296876,27
-1,1
168400,85
-1,0
-1,3
-1,0
-1,1
810292,17
176425,22
171798,127
-1,0
-1,1
241017,45
-1,1
-1,0
-1,0
318193,20
-1,0
-1,0
-1,0
-1,1
-1,1
-1,0
-1,0
553724,52
321167,465
-1,0
134642,100
430027,57
